country,revenue,orders,customers,revenue_share
United Kingdom,7285024.644000011,16646,3920,0.8197201990962903
Netherlands,285446.33999999997,94,9,0.032118783681647486
EIRE,265262.46,260,3,0.02984766794207861
Germany,228678.39999999982,457,94,0.025731183178825317
France,208934.31000000006,389,87,0.023509553167030555
Australia,138453.80999999997,57,9,0.015578998046672876
Spain,61558.56,90,30,0.006926647132325179
Switzerland,56443.950000000004,51,21,0.006351144737703511
Belgium,41196.340000000004,98,25,0.004635464350096772
Sweden,38367.83,36,8,0.004317196822717101
Japan,37416.37,19,8,0.00421013733853615
Norway,36165.44,36,10,0.004069381110690022
Portugal,33375.84,57,19,0.0037554917857881014
Finland,22546.079999999998,41,12,0.002536913475188082
Singapore,21279.29,7,1,0.0023943726600559835
Channel Islands,20440.540000000005,26,9,0.002299995447817138
Denmark,18955.34,18,9,0.002132878862878676
Italy,17483.239999999998,38,14,0.001967236306530771
Cyprus,13502.85,16,8,0.0015193577827473067
Austria,10198.68,17,11,0.0011475683897658126
Poland,7334.65,19,6,0.0008253041070016724
Israel,7215.839999999999,5,3,0.0008119354553341942
Greece,4760.5199999999995,5,4,0.0005356597393827383
Iceland,4309.999999999999,7,1,0.0004849666584195848
Canada,3666.38,6,4,0.0004125457209040366
USA,3580.3900000000003,5,4,0.0004028700172016004
Malta,2725.5899999999997,5,2,0.0003066868386361569
Unspecified,2660.77,8,4,0.0002993932101445659
United Arab Emirates,1902.28,3,2,0.00021404695475137075
Lebanon,1693.88,1,1,0.0001905975228222196
Lithuania,1661.06,4,1,0.00018690457485717765
European Community,1300.25,4,1,0.00014630577670767176
Brazil,1143.6,1,1,0.00012867932031754924
RSA,1002.3100000000001,1,1,0.00011278119058017034
Czech Republic,826.74,2,1,9.302583182872566e-05
Bahrain,548.4,2,2,6.170666252373557e-05
Saudi Arabia,145.92,1,1,1.6419103201063997e-05
