customer_id,first_purchase,last_purchase,frequency,monetary,average_order_value,recency_days,tenure_days,r_score,f_score,m_score,rfm_score,business_segment,kmeans_cluster
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,77183.6,326,0,1,1,4,6,High Value,1
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,615.7142857142857,2,365,4,4,4,12,Champions,1
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,449.31,75,282,2,3,4,9,At Risk,1
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,1757.55,19,0,3,1,4,8,New / Promising,0
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,334.4,310,0,1,1,2,4,Other,0
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,313.255,36,260,3,4,4,11,Loyal Customers,1
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,89.0,204,0,1,1,1,3,Other,0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,1079.4,232,0,1,1,3,5,Other,0
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,459.4,214,0,1,1,2,4,Other,0
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,937.1433333333333,23,302,3,3,4,10,Loyal Customers,1
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,6207.67,33,0,3,1,4,8,New / Promising,1
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,584.03,2,149,4,2,3,9,New / Promising,1
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6310.030000000001,1577.5075000000002,58,274,2,3,4,9,At Risk,1
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,887.3533333333334,52,148,2,3,4,9,At Risk,1
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,189.9,287,0,1,1,1,3,Other,0
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23,522.6229999999999,3,292,4,4,4,12,Champions,1
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,276.0,110,132,2,2,2,6,Other,0
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,328.275,8,104,4,3,3,10,Loyal Customers,1
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,320.69,291,0,1,2,2,5,Other,0
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,168.9,4,0,4,1,1,6,New / Promising,0
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3541.9399999999996,885.4849999999999,51,309,3,3,4,10,Loyal Customers,1
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,943.98,45,14,3,2,4,9,New / Promising,0
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,432.68,72,224,2,3,3,8,At Risk,0
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,364.6,311,0,1,1,2,4,Other,0
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,742.9300000000001,25,0,3,1,3,7,New / Promising,0
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,228.75,11,87,4,2,2,8,New / Promising,0
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12,814.06,315,39,1,2,3,6,Other,0
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,4008.62,130,0,2,1,4,7,High Value,0
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,426.12,82,88,2,2,3,7,Other,0
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,681.2025,22,164,3,3,4,10,Loyal Customers,1
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,369.062,5,115,4,3,4,11,Loyal Customers,1
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,370.11199999999997,185,167,1,3,4,8,At Risk,1
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,292.635,29,92,3,2,2,7,New / Promising,0
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,200.95,338,29,1,2,2,5,Other,0
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.66,463.4433333333333,16,311,4,4,4,12,Champions,1
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,549.84,80,0,2,1,2,5,Other,0
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,439.66,439.66,22,0,3,1,2,6,New / Promising,0
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6,395.65,72,260,2,3,3,8,At Risk,1
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,636.24,64,153,2,2,3,7,Other,0
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,251.5525,19,351,3,4,4,11,Loyal Customers,1
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.8999999999996,1204.9499999999998,36,99,3,2,4,9,New / Promising,1
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,1635.6599999999999,46,0,3,1,3,7,New / Promising,0
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,277.1625,119,142,2,3,3,8,At Risk,0
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,84.3,303,0,1,1,1,3,Other,0
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,225.6,323,0,1,1,1,3,Other,0
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.70000000000005,427.70000000000005,50,0,3,1,2,6,New / Promising,0
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,1710.39,149,0,1,1,4,6,High Value,0
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,1707.65,22,161,3,2,4,9,New / Promising,1
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12,341.62399999999997,50,214,3,3,4,10,Loyal Customers,1
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,577.71,33,227,3,3,4,10,Loyal Customers,1
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,3690.89,79,103,2,3,4,9,At Risk,1
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.33,346.665,309,0,1,2,3,6,Other,0
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88,408.96000000000004,75,94,2,3,3,8,At Risk,0
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1,252.70000000000002,67,270,2,3,3,8,At Risk,0
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.41,187.47,217,93,1,3,2,6,At Risk,0
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53,5948.310952380953,24,313,3,4,4,11,Loyal Customers,1
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1,405.4555555555555,3,354,4,4,4,12,Champions,1
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,668.58,113,0,2,1,3,6,Other,0
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,600.39,64,0,2,1,2,5,Other,0
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04,201.76,16,303,4,3,3,10,Loyal Customers,1
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.56,267.8533333333333,96,229,2,3,3,8,At Risk,0
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31,232.41375,1,352,4,4,4,12,Champions,1
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,880.48,163,0,1,2,4,7,High Value,0
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,777.2,78,0,2,1,3,6,Other,0
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,582.73,195,0,1,1,2,4,Other,0
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8,275.26666666666665,22,349,3,3,3,9,Loyal Customers,1
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46,884.0511111111111,26,257,3,4,4,11,Loyal Customers,1
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,4,3750.4,937.6,9,356,4,3,4,11,Loyal Customers,1
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,256.4,43,0,3,1,1,5,New / Promising,0
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,15,6419.95,427.99666666666667,36,338,3,4,4,11,Loyal Customers,1
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32,1011.8639999999999,43,129,3,3,4,10,Loyal Customers,1
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,7,13375.87,1910.8385714285716,1,372,4,4,4,12,Champions,1
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,2,806.14,403.07,85,175,2,2,3,7,Other,0
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,2,7829.89,3914.945,80,188,2,2,4,8,High Value,1
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01000000000005,509.01000000000005,100,0,2,1,2,5,Other,0
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,18,4951.41,275.0783333333333,2,329,4,4,4,12,Champions,1
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85,1453.425,14,125,4,2,4,10,New / Promising,1
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,173.55,367,0,1,1,1,3,Other,0
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,172.06,3,0,4,1,1,6,New / Promising,0
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46,1001.092,21,149,3,3,4,10,Loyal Customers,1
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,133.4,22,0,3,1,1,5,New / Promising,0
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,1002.3100000000001,58,0,2,1,3,6,Other,0
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,476.49,243,0,1,1,2,4,Other,0
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,449.45,44,0,3,1,2,6,New / Promising,0
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4067.29,1016.8225,22,164,3,3,4,10,Loyal Customers,1
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,2,197.88,98.94,156,17,1,2,1,4,Other,0
12451,2011-01-19 09:05:00,2011-11-29 08:40:00,5,9035.52,1807.104,11,313,4,3,4,11,Loyal Customers,1
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.57,215.285,17,0,4,2,2,8,New / Promising,0
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,707.09,134,0,2,1,3,6,Other,0
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,3528.34,56,0,2,1,4,7,High Value,0
12455,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2466.86,411.1433333333334,73,223,2,4,4,10,At Risk,1
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04,1060.3466666666666,44,210,3,3,4,10,Loyal Customers,1
12457,2011-04-14 18:57:00,2011-10-04 13:13:00,7,2363.23,337.6042857142857,66,172,2,4,4,10,At Risk,1
12458,2011-02-28 10:55:00,2011-09-29 15:25:00,2,947.4000000000001,473.70000000000005,71,213,2,2,3,7,Other,0
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88,413.44,94,60,2,2,3,7,Other,0
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,1189.5900000000001,594.7950000000001,19,284,3,2,3,8,New / Promising,1
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,1344.78,336.195,53,188,2,3,3,8,At Risk,1
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,1212.05,151.50625,10,299,4,4,3,11,Champions,1
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,742.19,371.095,17,152,4,2,3,9,New / Promising,0
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,2,729.5400000000001,364.77000000000004,188,128,1,2,3,6,Other,0
12471,2010-12-10 09:35:00,2011-12-07 15:43:00,30,19788.65,659.6216666666667,2,362,4,4,4,12,Champions,1
12472,2010-12-05 14:19:00,2011-11-07 14:01:00,7,6572.110000000001,938.8728571428572,32,336,3,4,4,11,Loyal Customers,1
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,3928.05,785.61,29,162,3,3,4,10,Loyal Customers,1
12474,2011-01-14 10:06:00,2011-11-22 14:39:00,18,7324.09,406.8938888888889,17,312,4,4,4,12,Champions,1
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,723.38,54,0,2,1,3,6,Other,0
12476,2010-12-13 14:39:00,2011-11-24 12:40:00,11,6816.42,619.6745454545454,16,345,4,4,4,12,Champions,1
