month,revenue,orders,active_customers,average_order_value
2010-12-01,570422.7300000001,1400,885,407.4448071428572
2011-01-01,568101.3100000005,987,741,575.5839007092204
2011-02-01,446084.92000000045,997,758,447.4272016048149
2011-03-01,594081.7600000007,1321,974,449.721241483725
2011-04-01,468374.33099999995,1149,856,407.6364934725848
2011-05-01,677355.1500000003,1555,1056,435.59816720257254
2011-06-01,660046.05,1393,991,473.8306173725772
2011-07-01,598962.9010000005,1331,949,450.0096927122468
2011-08-01,644051.0400000004,1280,935,503.1648750000003
2011-09-01,950690.2020000005,1755,1266,541.703818803419
2011-10-01,1035642.4499999997,1929,1364,536.8804821150854
2011-11-01,1156205.610000001,2657,1664,435.1545389537076
2011-12-01,517190.44000000006,778,615,664.769203084833
