stock_code,description,units_sold,revenue,orders,order_penetration
23843,"PAPER CRAFT , LITTLE BIRDIE",80995.0,168469.6,1,5.3960716598316424e-05
22423,REGENCY CAKESTAND 3 TIER,12374.0,142264.7499999999,1703,0.09189510036693287
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36706.0,100392.09999999992,1971,0.10635657241528168
85099B,JUMBO BAG RED RETROSPOT,46078.0,85040.53999999972,1600,0.08633714655730629
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916.0,81416.73,195,0.010522339736671703
47566,PARTY BUNTING,15279.0,68785.22999999995,1379,0.07441182818907835
84879,ASSORTED COLOUR BIRD ORNAMENT,35263.0,56413.030000000304,1375,0.07419598532268508
23084,RABBIT NIGHT LIGHT,27153.0,51251.23999999986,801,0.04322253399525146
79321,CHILLI LIGHTS,9646.0,46265.109999999986,519,0.028005611914526225
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15591.0,42584.13000000013,980,0.0528815022663501
22502,PICNIC BASKET WICKER 60 PIECES,61.0,39619.5,2,0.00010792143319663285
21137,BLACK RECORD COVER FRAME,11401.0,39045.799999999996,313,0.01688970429527304
22386,JUMBO BAG PINK POLKADOT,20148.0,37254.359999999884,871,0.04699978415713361
23284,DOORMAT KEEP CALM AND COME IN,5338.0,35880.84999999996,648,0.03496654435570904
23298,SPOTTY BUNTING,7633.0,35509.55000000002,1003,0.05412259874811137
82484,WOOD BLACK BOARD ANT WHITE FINISH,5913.0,34414.70999999996,604,0.03259227282538312
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010.0,33298.30000000011,1146,0.06183898122167062
22960,JAM MAKING SET WITH JARS,8140.0,32616.22,878,0.04737750917332182
85099F,JUMBO BAG STRAWBERRY,16771.0,30569.319999999967,654,0.03529030865529894
22178,VICTORIAN GLASS HANGING T-LIGHT,22404.0,28735.360000000008,815,0.043977984027627884
22470,HEART OF WICKER LARGE,9577.0,28479.649999999972,801,0.04322253399525146
22469,HEART OF WICKER SMALL,16768.0,28217.089999999997,961,0.05185624865098209
20725,LUNCH BAG RED RETROSPOT,17576.0,27868.799999999977,1288,0.06950140297863155
23245,SET OF 3 REGENCY CAKE TINS,5844.0,26566.279999999926,718,0.03874379451759119
23199,JUMBO BAG APPLES,13875.0,26426.299999999937,718,0.03874379451759119
22727,ALARM CLOCK BAKELIKE RED ,7206.0,25868.949999999997,877,0.047323548456723506
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,9423.0,25639.77,697,0.03761061946902655
20685,DOORMAT RED RETROSPOT,3897.0,25364.84999999997,576,0.03108137276063026
21175,GIN + TONIC DIET METAL SIGN,11501.0,24944.88000000004,655,0.03534426937189726
22699,ROSES REGENCY TEACUP AND SAUCER ,9119.0,24827.250000000004,783,0.04225124109648176
22629,SPACEBOY LUNCH BOX ,13908.0,24673.13999999995,704,0.037988344485214764
23355,HOT WATER BOTTLE KEEP CALM,5313.0,24302.55000000001,719,0.03879775523418951
23201,JUMBO BAG ALPHABET,12533.0,24160.43999999995,752,0.040578458881933954
22457,NATURAL SLATE HEART CHALKBOARD ,8427.0,24089.169999999944,967,0.05218001295057199
21181,PLEASE ONE PERSON METAL SIGN,11932.0,23865.819999999992,694,0.0374487373192316
21915,RED  HARMONICA IN BOX ,20945.0,23756.43,561,0.030271962011655516
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12771.0,23630.579999999994,649,0.03502050507230736
48138,DOORMAT UNION FLAG,3614.0,23622.53999999998,516,0.027843729764731276
22112,CHOCOLATE HOT WATER BOTTLE,5152.0,23584.640000000007,700,0.0377725016188215
22197,POPCORN HOLDER,30919.0,23417.509999999987,632,0.03410317289013598
23173,REGENCY TEAPOT ROSES ,2662.0,23033.520000000022,354,0.019102093675804014
22138,BAKING SET 9 PIECE RETROSPOT ,4786.0,22953.1,854,0.046082451974962226
48187,DOORMAT NEW ENGLAND,3698.0,22783.799999999967,531,0.028653140513706023
22189,CREAM HEART CARD HOLDER,8188.0,22687.919999999987,452,0.024390243902439025
21623,VINTAGE UNION JACK MEMOBOARD,3252.0,22679.280000000017,205,0.011061946902654867
21733,RED HANGING HEART T-LIGHT HOLDER,7749.0,22595.18999999998,679,0.036639326570256855
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658.0,22109.08,385,0.020774875890351825
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8075.0,22101.76999999996,595,0.03210662637599827
21931,JUMBO STORAGE BAG SUKI,11513.0,21784.839999999997,774,0.041765594647096914
48185,DOORMAT FAIRY CAKE,3427.0,21171.789999999986,241,0.01300453270019426
22961,JAM MAKING SET PRINTED,15039.0,21147.549999999952,868,0.04683790200733866
21621,VINTAGE UNION JACK BUNTING,2538.0,20945.16,391,0.021098640189941724
23202,JUMBO BAG VINTAGE LEAF,10695.0,20921.549999999945,772,0.04165767321390028
22726,ALARM CLOCK BAKELIKE GREEN,5630.0,20839.15,789,0.04257500539607166
22666,RECIPE BOX PANTRY YELLOW DESIGN,7366.0,20838.619999999923,828,0.044679473343406
15056N,EDWARDIAN PARASOL NATURAL,3822.0,20672.909999999996,378,0.02039715087416361
23203,JUMBO BAG VINTAGE DOILY ,10620.0,20641.399999999976,621,0.033509605007554503
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5360.0,20482.60000000001,653,0.035236347938700625
85066,CREAM SWEETHEART MINI CHEST,1696.0,20448.17,445,0.02401251888625081
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4239.0,20426.23,823,0.04440966976041442
21166,COOK WITH WINE METAL SIGN ,10169.0,20232.12999999999,602,0.032484351392186486
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10490.0,20116.380000000012,790,0.042628966112669975
22630,DOLLY GIRL LUNCH BOX,11323.0,20104.089999999967,616,0.03323980142456292
22111,SCOTTIE DOG HOT WATER BOTTLE,4248.0,20049.899999999987,656,0.035398230088495575
82482,WOODEN PICTURE FRAME WHITE FINISH,8256.0,19945.450000000026,876,0.04726958774012519
48194,DOORMAT HEARTS,3268.0,19924.659999999978,480,0.025901143967191884
21731,RED TOADSTOOL LED NIGHT LIGHT,12863.0,19831.71000000003,522,0.028167494064321175
22659,LUNCH BOX I LOVE LONDON,11075.0,19316.169999999976,504,0.02719620116555148
21523,DOORMAT FANCY FONT HOME SWEET HOME,3087.0,19149.069999999992,397,0.021422404489531623
20713,JUMBO BAG OWLS,10451.0,19047.020000000004,411,0.022177854521908052
22090,PAPER BUNTING RETROSPOT,6877.0,18785.989999999976,567,0.030595726311245415
22728,ALARM CLOCK BAKELIKE PINK,5066.0,18539.090000000004,613,0.03307791927476797
21929,JUMBO BAG PINK VINTAGE PAISLEY,9888.0,18427.90000000001,602,0.032484351392186486
23206,LUNCH BAG APPLE DESIGN,11530.0,18220.499999999993,866,0.04672998057414202
20727,LUNCH BAG  BLACK SKULL.,11246.0,17950.30000000001,1052,0.05676667386142888
21843,RED RETROSPOT CAKE STAND,1808.0,17918.799999999977,421,0.022717461687891214
22697,GREEN REGENCY TEACUP AND SAUCER,6406.0,17735.539999999943,691,0.03728685516943665
23344,JUMBO BAG 50'S CHRISTMAS ,8933.0,17636.03999999997,586,0.031620979926613425
82494L,WOODEN FRAME ANTIQUE WHITE ,6268.0,17583.76999999995,811,0.04376214116123462
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6469.0,17569.58999999998,458,0.024714008202028924
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7892.0,17554.270000000008,305,0.01645801856248651
22969,HOMEMADE JAM SCENTED CANDLES,12080.0,17504.199999999975,518,0.027951651197927908
22467,GUMBALL COAT RACK,7652.0,17488.550000000032,570,0.03075760846104036
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10070.0,17291.57,192,0.010360457586876754
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15940.0,17226.200000000004,239,0.012896611266997626
20728,LUNCH BAG CARS BLUE,10789.0,17214.530000000006,966,0.052126052233973666
23203,JUMBO BAG DOILEY PATTERNS,8735.0,16737.099999999944,454,0.024498165335635657
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,5654.0,16566.34,221,0.01192531836822793
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5871.0,16537.12999999997,763,0.04117202676451543
21212,PACK OF 72 RETROSPOT CAKE CASES,33670.0,16381.879999999952,1029,0.0555255773796676
22384,LUNCH BAG PINK POLKADOT,10226.0,16303.300000000003,931,0.050237427153032595
22865,HAND WARMER OWL DESIGN,8056.0,16113.72999999999,572,0.030865529894236996
15036,ASSORTED COLOURS SILK FAN,21876.0,16044.44000000001,324,0.01748327217785452
22492,MINI PAINT SET VINTAGE ,26076.0,16039.239999999998,325,0.017537232894452838
21485,RETROSPOT HEART HOT WATER BOTTLE,3326.0,15827.179999999997,533,0.028761061946902654
22382,LUNCH BAG SPACEBOY DESIGN ,9875.0,15820.150000000012,988,0.053313187999136626
20712,JUMBO BAG WOODLAND ANIMALS,8187.0,15511.600000000017,492,0.02654867256637168
21754,HOME BUILDING BLOCK WORD,2633.0,15504.509999999998,691,0.03728685516943665
85152,HAND OVER THE CHOCOLATE   SIGN ,8138.0,15484.509999999978,590,0.03183682279300669
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3729.0,15386.07,514,0.027735808331534644
22383,LUNCH BAG SUKI DESIGN ,9570.0,15332.89999999999,899,0.048510684221886466
22385,JUMBO BAG SPACEBOY DESIGN,8231.0,15320.750000000005,477,0.025739261817396934
15056BL,EDWARDIAN PARASOL BLACK,2779.0,15218.669999999998,291,0.01570256853011008
84946,ANTIQUE SILVER T-LIGHT GLASS,12949.0,15176.42,534,0.028815022663500972
22077,6 RIBBONS RUSTIC CHARM,8594.0,14969.840000000011,726,0.039175480250377724
22698,PINK REGENCY TEACUP AND SAUCER,5307.0,14663.289999999968,556,0.03000215842866393
22624,IVORY KITCHEN SCALES,1765.0,14638.730000000003,620,0.03345564429095618
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754.0,14626.730000000009,451,0.024336283185840708
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2324.0,14573.719999999996,509,0.02746600474854306
20726,LUNCH BAG WOODLAND,9091.0,14497.510000000002,820,0.04424778761061947
22993,SET OF 4 PANTRY JELLY MOULDS,11769.0,14151.419999999998,866,0.04672998057414202
22197,SMALL POPCORN HOLDER,18241.0,13789.369999999984,403,0.021746168789121518
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528.0,13788.300000000001,323,0.017429311461256206
22835,HOT WATER BOTTLE I AM SO POORLY,2939.0,13685.130000000003,505,0.027250161882149796
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54319.0,13558.410000000022,472,0.025469458234405353
48184,DOORMAT ENGLISH ROSE ,1972.0,13447.099999999999,356,0.01921001510900065
22084,PAPER CHAIN KIT EMPIRE,4885.0,13411.55,374,0.020181308007770342
84029E,RED WOOLLY HOTTIE WHITE HEART.,3676.0,13311.259999999998,321,0.01732139002805957
22847,BREAD BIN DINER STYLE IVORY,847.0,13131.889999999992,341,0.018400604360025902
22622,BOX OF VINTAGE ALPHABET BLOCKS,1295.0,13035.660000000002,231,0.012464925534211094
23200,JUMBO BAG PEARS,6729.0,13034.919999999987,470,0.02536153680120872
84078A,SET/4 WHITE RETRO STORAGE CUBES ,357.0,13007.149999999994,106,0.005719835959421541
23108,SET OF 10 LED DOLLY LIGHTS,2192.0,12972.73,351,0.018940211526009065
23313,VINTAGE CHRISTMAS BUNTING,2748.0,12960.119999999994,359,0.019371897258795595
23356,LOVE HOT WATER BOTTLE,2325.0,12954.750000000004,449,0.024228361752644076
82583,HOT BATHS METAL SIGN,6367.0,12731.339999999986,385,0.020774875890351825
